"","X","ID","num_of_leaves","model","non_binary_prob","planted","remove_extinct","rescale_to_height","dupl_rate","loss_rate","hgt_rate","prohibit_extinction","replace_prob","LDT_Edges","Fitch_true_Edges","Fraction_of_Xenologs","Number_of_Species","Number_of_leaves_tgt","Number_of_leaves_ogt","T_ldt_false_positive","T_ldt_true_positive","T_ldt_false_negative","T_triple","T_ldt_triple","S_ldt_false_positive","S_ldt_true_positive","S_ldt_false_negative","S_triple","S_ldt_triple","Number_of_Nodes_ldt_100","Edges_rs_false_positive_100","Edges_rs_false_negative_100","Edges_rs_true_positive_100","Fitch_rs_Edges_100","Edges_cd_false_positive_100","Edges_cd_false_negative_100","Edges_cd_true_positive_100","Number_of_Nodes_ldt_80","Edges_rs_false_positive_80","Edges_rs_false_negative_80","Edges_rs_true_positive_80","Fitch_rs_Edges_80","Edges_cd_false_positive_80","Edges_cd_false_negative_80","Edges_cd_true_positive_80","Number_of_Nodes_ldt_60","Edges_rs_false_positive_60","Edges_rs_false_negative_60","Edges_rs_true_positive_60","Fitch_rs_Edges_60","Edges_cd_false_positive_60","Edges_cd_false_negative_60","Edges_cd_true_positive_60","Number_of_Nodes_ldt_40","Edges_rs_false_positive_40","Edges_rs_false_negative_40","Edges_rs_true_positive_40","Fitch_rs_Edges_40","Edges_cd_false_positive_40","Edges_cd_false_negative_40","Edges_cd_true_positive_40","Number_of_Nodes_ldt_20","Edges_rs_false_positive_20","Edges_rs_false_negative_20","Edges_rs_true_positive_20","Fitch_rs_Edges_20","Edges_cd_false_positive_20","Edges_cd_false_negative_20","Edges_cd_true_positive_20","Group","tn_cd_100","tn_cd_80","tn_cd_60","tn_cd_40","tn_cd_20","tn_rs_100","tn_rs_80","tn_rs_60","tn_rs_40","tn_rs_20","recall_cd_100","recall_cd_80","recall_cd_60","recall_cd_40","recall_cd_20","recall_rs_100","recall_rs_80","recall_rs_60","recall_rs_40","recall_rs_20","precision_cd_100","precision_cd_80","precision_cd_60","precision_cd_40","precision_cd_20","precision_rs_100","precision_rs_80","precision_rs_60","precision_rs_40","precision_rs_20","accuracy_cd_100","accuracy_cd_80","accuracy_cd_60","accuracy_cd_40","accuracy_cd_20","accuracy_rs_100","accuracy_rs_80","accuracy_rs_60","accuracy_rs_40","accuracy_rs_20"
"21",20,"P0_0020",17,"innovation",0.213142114856773,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,17,17,15,453,0,0,453,0,677,0,0,677,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,"P0",105,105,105,105,105,105,105,105,105,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"22",21,"P0_0021",19,"innovation",0.256330349065763,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,19,17,16,542,0,0,542,0,864,0,0,864,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,"P0",120,120,120,120,120,120,120,120,120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"23",22,"P0_0022",13,"innovation",0.061336270753586,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,13,14,14,362,0,0,362,0,284,0,0,284,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,"P0",91,91,91,91,91,91,91,91,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"24",23,"P0_0023",26,"innovation",0.498196585821094,"True","False",1,0.25,0.25,0.25,"per_family",1,154,191,0.806282722513089,26,31,27,2112,473,0,2585,473,929,1081,0,2010,1081,27,27,21,82,109,0,0,103,27,16,10,40,56,0,0,50,27,10,14,49,59,10,14,49,27,0,0,12,12,0,0,12,27,0,0,4,4,0,0,4,"P0",248,301,278,339,347,221,285,278,339,347,1,1,0.777777777777778,1,1,0.796116504854369,0.8,0.777777777777778,1,1,1,1,0.830508474576271,1,1,0.752293577981651,0.714285714285714,0.830508474576271,1,1,1,1,0.931623931623932,1,1,0.863247863247863,0.925925925925926,0.931623931623932,1,1
"25",24,"P0_0024",28,"innovation",0.18432844893014,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,28,38,37,7564,0,0,7564,0,3151,0,0,3151,0,37,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,"P0",666,666,666,666,666,666,666,666,666,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"26",25,"P0_0025",36,"innovation",0.306897260801287,"True","False",1,0.25,0.25,0.25,"per_family",1,111,290,0.382758620689655,36,83,75,62159,5021,0,67180,5021,5406,1399,0,6805,1399,75,0,0,93,93,0,1,92,75,0,0,34,34,0,0,34,75,0,0,31,31,0,0,31,75,0,0,75,75,0,1,74,75,0,0,11,11,0,0,11,"P0",2682,2741,2744,2700,2764,2682,2741,2744,2700,2764,0.989247311827957,1,1,0.986666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99963963963964,1,1,0.99963963963964,1,1,1,1,1,1
"27",26,"P0_0026",14,"innovation",0.145666440901513,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,14,3,2,0,0,0,0,0,361,0,0,361,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"P0",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"28",27,"P0_0027",35,"innovation",0.424380677002745,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,35,33,30,3836,0,0,3836,0,6216,0,0,6216,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,"P0",435,435,435,435,435,435,435,435,435,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"29",28,"P0_0028",40,"innovation",0.21380345280177,"True","False",1,0.25,0.25,0.25,"per_family",1,231,350,0.66,40,67,62,33612,3095,0,36707,3095,8131,1180,0,9311,1180,62,0,0,105,105,0,1,104,62,0,0,118,118,0,1,117,62,0,0,75,75,23,24,51,62,0,17,37,37,0,17,37,62,0,0,27,27,0,0,27,"P0",1786,1773,1793,1837,1864,1786,1773,1816,1837,1864,0.990476190476191,0.991525423728814,0.68,0.685185185185185,1,1,1,1,0.685185185185185,1,1,1,0.689189189189189,1,1,1,1,1,1,1,0.999471179270227,0.999471179270227,0.975145425700688,0.991010047593866,1,1,1,1,0.991010047593866,1
"30",29,"P0_0029",43,"innovation",0.355456552457135,"True","False",1,0.25,0.25,0.25,"per_family",1,21,97,0.216494845360825,43,53,50,13641,748,0,14389,748,7871,38,0,7909,38,50,0,0,34,34,0,0,34,50,117,13,32,149,0,1,44,50,0,0,20,20,0,0,20,50,36,9,18,54,0,1,26,50,0,0,7,7,0,0,7,"P0",1191,1180,1205,1198,1218,1191,1063,1205,1162,1218,1,0.977777777777778,1,0.962962962962963,1,1,0.711111111111111,1,0.666666666666667,1,1,1,1,1,1,1,0.214765100671141,1,0.333333333333333,1,1,0.999183673469388,1,0.999183673469388,1,1,0.893877551020408,1,0.963265306122449,1
