"","X","ID","num_of_leaves","model","non_binary_prob","planted","remove_extinct","rescale_to_height","dupl_rate","loss_rate","hgt_rate","prohibit_extinction","replace_prob","LDT_Edges","Fitch_true_Edges","Fraction_of_Xenologs","Number_of_Species","Number_of_leaves_tgt","Number_of_leaves_ogt","T_ldt_false_positive","T_ldt_true_positive","T_ldt_false_negative","T_triple","T_ldt_triple","S_ldt_false_positive","S_ldt_true_positive","S_ldt_false_negative","S_triple","S_ldt_triple","Number_of_Nodes_ldt_100","Edges_rs_false_positive_100","Edges_rs_false_negative_100","Edges_rs_true_positive_100","Fitch_rs_Edges_100","Edges_cd_false_positive_100","Edges_cd_false_negative_100","Edges_cd_true_positive_100","Number_of_Nodes_ldt_80","Edges_rs_false_positive_80","Edges_rs_false_negative_80","Edges_rs_true_positive_80","Fitch_rs_Edges_80","Edges_cd_false_positive_80","Edges_cd_false_negative_80","Edges_cd_true_positive_80","Number_of_Nodes_ldt_60","Edges_rs_false_positive_60","Edges_rs_false_negative_60","Edges_rs_true_positive_60","Fitch_rs_Edges_60","Edges_cd_false_positive_60","Edges_cd_false_negative_60","Edges_cd_true_positive_60","Number_of_Nodes_ldt_40","Edges_rs_false_positive_40","Edges_rs_false_negative_40","Edges_rs_true_positive_40","Fitch_rs_Edges_40","Edges_cd_false_positive_40","Edges_cd_false_negative_40","Edges_cd_true_positive_40","Number_of_Nodes_ldt_20","Edges_rs_false_positive_20","Edges_rs_false_negative_20","Edges_rs_true_positive_20","Fitch_rs_Edges_20","Edges_cd_false_positive_20","Edges_cd_false_negative_20","Edges_cd_true_positive_20","Group","tn_cd_100","tn_cd_80","tn_cd_60","tn_cd_40","tn_cd_20","tn_rs_100","tn_rs_80","tn_rs_60","tn_rs_40","tn_rs_20","recall_cd_100","recall_cd_80","recall_cd_60","recall_cd_40","recall_cd_20","recall_rs_100","recall_rs_80","recall_rs_60","recall_rs_40","recall_rs_20","precision_cd_100","precision_cd_80","precision_cd_60","precision_cd_40","precision_cd_20","precision_rs_100","precision_rs_80","precision_rs_60","precision_rs_40","precision_rs_20","accuracy_cd_100","accuracy_cd_80","accuracy_cd_60","accuracy_cd_40","accuracy_cd_20","accuracy_rs_100","accuracy_rs_80","accuracy_rs_60","accuracy_rs_40","accuracy_rs_20"
"4500",4499,"P4_0499",44,"innovation",0.175089276740968,"True","False",1,1,1,0.5,"per_family",1,13,104,0.125,44,48,37,6247,383,0,6630,383,11295,36,0,11331,36,37,0,0,0,0,0,0,0,37,0,0,21,21,20,20,1,37,0,0,31,31,14,15,16,37,0,0,11,11,0,0,11,37,0,0,0,0,0,0,0,"P4",666,625,621,655,666,666,645,635,655,666,NA,0.0476190476190476,0.516129032258065,1,NA,NA,1,1,1,NA,NA,0.0476190476190476,0.533333333333333,1,NA,NA,1,1,1,NA,1,0.93993993993994,0.956456456456456,1,1,1,1,1,1,1
"4501",4500,"P4_0500",36,"innovation",0.210464608178928,"True","False",1,1,1,0.5,"per_family",1,129,626,0.206070287539936,36,58,43,5540,3563,0,9103,3563,4630,342,0,4972,342,43,30,32,192,222,36,99,125,43,28,87,105,133,28,101,91,43,12,6,119,131,12,62,63,43,0,15,36,36,10,39,12,43,0,8,10,10,0,8,10,"P4",643,683,766,842,885,649,683,766,852,885,0.558035714285714,0.473958333333333,0.504,0.235294117647059,0.555555555555556,0.857142857142857,0.546875,0.952,0.705882352941177,0.555555555555556,0.77639751552795,0.764705882352941,0.84,0.545454545454545,1,0.864864864864865,0.789473684210526,0.908396946564885,1,1,0.850498338870432,0.857142857142857,0.918050941306755,0.945736434108527,0.991140642303433,0.931339977851606,0.872646733111849,0.980066445182724,0.983388704318937,0.991140642303433
"4502",4501,"P4_0501",13,"innovation",0.13057335012989,"True","False",1,1,1,0.5,"per_family",1,0,0,0,13,5,1,0,0,0,0,0,276,0,0,276,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"P4",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4503",4502,"P4_0502",10,"innovation",0.384163927419047,"True","False",1,1,1,0.5,"per_family",1,5,17,0.294117647058824,10,12,8,46,10,0,56,10,94,10,0,104,10,8,0,4,0,0,0,4,0,8,0,2,9,9,0,6,5,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,"P4",24,17,28,28,28,24,17,28,28,28,0,0.454545454545455,NA,NA,NA,0,0.818181818181818,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0.857142857142857,0.785714285714286,1,1,1,0.857142857142857,0.928571428571429,1,1,1
"4504",4503,"P4_0503",23,"innovation",0.451495595403528,"True","False",1,1,1,0.5,"per_family",1,16,16,1,23,21,17,576,0,0,576,0,1525,120,0,1645,120,17,0,0,11,11,0,0,11,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,5,5,0,0,5,17,0,0,0,0,0,0,0,"P4",125,136,136,131,136,125,136,136,131,136,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1
"4505",4504,"P4_0504",30,"innovation",0.322661988493762,"True","False",1,1,1,0.5,"per_family",1,29,285,0.101754385964912,30,43,35,5719,765,0,6484,765,3290,47,0,3337,47,35,47,72,92,139,17,112,52,35,0,16,35,35,0,17,34,35,0,32,13,13,0,32,13,35,8,8,11,19,8,8,11,35,0,8,5,5,0,8,5,"P4",414,544,550,568,582,384,544,550,568,582,0.317073170731707,0.666666666666667,0.288888888888889,0.578947368421053,0.384615384615385,0.560975609756098,0.686274509803922,0.288888888888889,0.578947368421053,0.384615384615385,0.753623188405797,1,1,0.578947368421053,1,0.661870503597122,1,1,0.578947368421053,1,0.783193277310924,0.971428571428571,0.946218487394958,0.973109243697479,0.98655462184874,0.8,0.973109243697479,0.946218487394958,0.973109243697479,0.98655462184874
"4506",4505,"P4_0505",35,"innovation",0.275021408599888,"True","False",1,1,1,0.5,"per_family",1,50,109,0.458715596330275,35,62,56,26162,922,0,27084,922,5978,231,0,6209,231,56,189,7,27,216,0,0,34,56,161,7,23,184,0,0,30,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,"P4",1506,1510,1540,1540,1540,1317,1349,1540,1540,1540,1,1,NA,NA,NA,0.794117647058823,0.766666666666667,NA,NA,NA,1,1,NA,NA,NA,0.125,0.125,NA,NA,NA,1,1,1,1,1,0.872727272727273,0.890909090909091,1,1,1
"4507",4506,"P4_0506",30,"innovation",0.497279143914643,"True","False",1,1,1,0.5,"per_family",1,65,441,0.147392290249433,30,92,78,71724,3788,0,75512,3788,3350,286,0,3636,286,78,0,0,176,176,0,0,176,78,0,75,117,117,0,75,117,78,0,29,60,60,0,29,60,78,0,24,25,25,0,24,25,78,0,0,0,0,0,0,0,"P4",2827,2811,2914,2954,3003,2827,2811,2914,2954,3003,1,0.609375,0.674157303370786,0.510204081632653,NA,1,0.609375,0.674157303370786,0.510204081632653,NA,1,1,1,1,NA,1,1,1,1,NA,1,0.975024975024975,0.99034299034299,0.992007992007992,1,1,0.975024975024975,0.99034299034299,0.992007992007992,1
"4508",4507,"P4_0507",40,"innovation",0.03210703863,"True","False",1,1,1,0.5,"per_family",1,0,0,0,40,29,22,1540,0,0,1540,0,9873,0,0,9873,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,"P4",231,231,231,231,231,231,231,231,231,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4509",4508,"P4_0508",49,"innovation",0.040741288839832,"True","False",1,1,1,0.5,"per_family",1,1437,1978,0.726491405460061,49,95,71,52460,4680,0,57140,4680,11080,7323,0,18403,7323,71,60,108,689,749,0,108,689,71,54,74,526,580,36,120,480,71,24,41,359,383,21,65,335,71,0,32,209,209,6,51,190,71,0,7,47,47,1,8,46,"P4",1688,1849,2064,2238,2430,1628,1831,2061,2244,2431,0.864491844416562,0.8,0.8375,0.788381742738589,0.851851851851852,0.864491844416562,0.876666666666667,0.8975,0.867219917012448,0.87037037037037,1,0.930232558139535,0.941011235955056,0.969387755102041,0.978723404255319,0.919893190921228,0.906896551724138,0.93733681462141,1,1,0.956539235412475,0.937223340040241,0.965392354124748,0.977062374245473,0.996378269617706,0.932394366197183,0.948490945674044,0.973843058350101,0.987122736418511,0.997183098591549
"4510",4509,"P4_0509",13,"innovation",0.191601827265503,"True","False",1,1,1,0.5,"per_family",1,10,28,0.357142857142857,13,21,16,462,90,0,552,90,260,4,0,264,4,16,18,6,3,21,0,0,9,16,12,4,3,15,0,0,7,16,0,0,6,6,5,5,1,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,"P4",111,113,109,120,120,93,101,114,120,120,1,1,0.166666666666667,NA,NA,0.333333333333333,0.428571428571429,1,NA,NA,1,1,0.166666666666667,NA,NA,0.142857142857143,0.2,1,NA,NA,1,1,0.916666666666667,1,1,0.8,0.866666666666667,1,1,1
"4511",4510,"P4_0510",13,"innovation",0.295911510468946,"True","False",1,1,1,0.5,"per_family",1,0,0,0,13,14,13,237,0,0,237,0,237,0,0,237,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,"P4",78,78,78,78,78,78,78,78,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4512",4511,"P4_0511",39,"innovation",0.00404237533541,"True","False",1,1,1,0.5,"per_family",1,0,0,0,39,7,3,1,0,0,1,0,9136,0,0,9136,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"P4",3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4513",4512,"P4_0512",21,"innovation",0.294903348230286,"True","False",1,1,1,0.5,"per_family",1,4,76,0.0526315789473684,21,79,77,72193,288,0,72481,288,1199,1,0,1200,1,77,0,0,47,47,0,0,47,77,38,38,1,39,0,0,39,77,33,33,1,34,33,33,1,77,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,"P4",2879,2887,2859,2926,2926,2879,2849,2859,2926,2926,1,1,0.0294117647058824,NA,NA,1,0.0256410256410256,0.0294117647058824,NA,NA,1,1,0.0294117647058824,NA,NA,1,0.0256410256410256,0.0294117647058824,NA,NA,1,1,0.977443609022556,1,1,1,0.974025974025974,0.977443609022556,1,1
"4514",4513,"P4_0513",49,"innovation",0.175976346823837,"True","False",1,1,1,0.5,"per_family",1,192,275,0.698181818181818,49,80,72,58626,960,0,59586,960,14578,1089,0,15667,1089,72,0,49,0,0,0,49,0,72,0,36,37,37,0,36,37,72,0,0,58,58,0,0,58,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,"P4",2507,2483,2498,2556,2556,2507,2483,2498,2556,2556,0,0.506849315068493,1,NA,NA,0,0.506849315068493,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,0.980829420970266,0.985915492957746,1,1,1,0.980829420970266,0.985915492957746,1,1,1
"4515",4514,"P4_0514",39,"innovation",0.275345988705096,"True","False",1,1,1,0.5,"per_family",1,76,750,0.101333333333333,39,75,57,23313,3536,0,26849,3536,7520,157,0,7677,157,57,52,182,238,290,52,196,224,57,20,80,198,218,20,94,184,57,38,57,81,119,38,62,76,57,0,23,55,55,0,48,30,57,0,32,0,0,0,32,0,"P4",1124,1298,1420,1518,1564,1124,1298,1420,1518,1564,0.533333333333333,0.661870503597122,0.550724637681159,0.384615384615385,0,0.566666666666667,0.712230215827338,0.58695652173913,0.705128205128205,0,0.811594202898551,0.901960784313726,0.666666666666667,1,NA,0.820689655172414,0.908256880733945,0.680672268907563,1,NA,0.844611528822055,0.928571428571429,0.93734335839599,0.969924812030075,0.979949874686717,0.853383458646617,0.93734335839599,0.94047619047619,0.985588972431078,0.979949874686717
"4516",4515,"P4_0515",30,"innovation",0.286739556593624,"True","False",1,1,1,0.5,"per_family",1,155,237,0.654008438818565,30,93,81,84032,615,0,84647,615,3173,756,0,3929,756,81,49,49,1,50,0,0,50,81,0,0,49,49,0,0,49,81,0,0,34,34,0,0,34,81,0,0,25,25,0,0,25,81,0,13,14,14,0,13,14,"P4",3190,3191,3206,3215,3213,3141,3191,3206,3215,3213,1,1,1,1,0.518518518518518,0.02,1,1,1,0.518518518518518,1,1,1,1,1,0.02,1,1,1,1,1,1,1,1,0.995987654320988,0.969753086419753,1,1,1,0.995987654320988
"4517",4516,"P4_0516",19,"innovation",0.186469507513891,"True","False",1,1,1,0.5,"per_family",1,85,87,0.977011494252874,19,39,25,2263,2,0,2265,2,492,434,0,926,434,25,0,1,30,30,0,1,30,25,0,0,14,14,0,0,14,25,0,0,11,11,0,0,11,25,0,0,0,0,0,0,0,25,0,0,3,3,0,0,3,"P4",269,286,289,300,297,269,286,289,300,297,0.967741935483871,1,1,NA,1,0.967741935483871,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,0.996666666666667,1,1,1,1,0.996666666666667,1,1,1,1
"4518",4517,"P4_0517",24,"innovation",0.247504948403042,"True","False",1,1,1,0.5,"per_family",1,17,34,0.5,24,22,19,900,17,0,917,17,1866,105,0,1971,105,19,0,12,0,0,0,12,0,19,0,9,0,0,0,9,0,19,0,0,8,8,0,0,8,19,0,0,0,0,0,0,0,19,0,0,1,1,0,0,1,"P4",159,162,163,171,170,159,162,163,171,170,0,0,1,NA,1,0,0,1,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,0.929824561403509,0.947368421052632,1,1,1,0.929824561403509,0.947368421052632,1,1,1
"4519",4518,"P4_0518",47,"innovation",0.307115573592119,"True","False",1,1,1,0.5,"per_family",1,351,564,0.622340425531915,47,60,44,10676,2155,0,12831,2155,13166,1192,0,14358,1192,44,17,21,145,162,17,39,127,44,0,7,137,137,0,12,132,44,0,4,130,130,0,18,116,44,6,7,70,76,6,24,53,44,0,7,16,16,0,11,12,"P4",763,802,812,863,923,763,802,812,863,923,0.765060240963855,0.916666666666667,0.865671641791045,0.688311688311688,0.521739130434783,0.873493975903614,0.951388888888889,0.970149253731343,0.909090909090909,0.695652173913043,0.881944444444444,1,1,0.898305084745763,1,0.895061728395062,1,1,0.921052631578947,1,0.940803382663848,0.987315010570824,0.980972515856237,0.968287526427061,0.988372093023256,0.959830866807611,0.992600422832981,0.995771670190275,0.986257928118393,0.992600422832981
"4520",4519,"P4_0519",49,"innovation",0.357044417214874,"True","False",1,1,1,0.5,"per_family",1,97,342,0.283625730994152,49,60,36,4488,1598,0,6086,1598,14565,433,0,14998,433,36,0,70,81,81,13,102,49,36,36,24,23,59,0,2,45,36,0,12,57,57,11,36,33,36,0,26,11,11,0,26,11,36,0,0,14,14,0,0,14,"P4",466,583,550,593,616,479,547,561,593,616,0.324503311258278,0.957446808510638,0.478260869565217,0.297297297297297,1,0.536423841059603,0.48936170212766,0.826086956521739,0.297297297297297,1,0.790322580645161,1,0.75,1,1,1,0.389830508474576,1,1,1,0.817460317460317,0.996825396825397,0.925396825396825,0.958730158730159,1,0.888888888888889,0.904761904761905,0.980952380952381,0.958730158730159,1
"4521",4520,"P4_0520",36,"innovation",0.130118436996204,"True","False",1,1,1,0.5,"per_family",1,0,0,0,36,10,5,10,0,0,10,0,6646,0,0,6646,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,"P4",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4522",4521,"P4_0521",41,"innovation",0.091240867396138,"True","False",1,1,1,0.5,"per_family",1,66,66,1,41,78,67,47825,0,0,47825,0,9990,630,0,10620,630,67,0,0,40,40,0,0,40,67,0,0,35,35,0,0,35,67,0,0,30,30,0,0,30,67,0,0,20,20,0,0,20,67,0,0,12,12,0,0,12,"P4",2171,2176,2181,2191,2199,2171,2176,2181,2191,2199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4523",4522,"P4_0522",31,"innovation",0.058148257904304,"True","False",1,1,1,0.5,"per_family",1,44,187,0.235294117647059,31,58,50,18904,688,0,19592,688,4126,156,0,4282,156,50,170,19,116,286,62,95,40,50,24,24,1,25,24,24,1,50,0,20,21,21,0,20,21,50,0,15,0,0,0,15,0,50,0,0,0,0,0,0,0,"P4",1028,1176,1184,1210,1225,920,1176,1184,1210,1225,0.296296296296296,0.04,0.51219512195122,0,NA,0.859259259259259,0.04,0.51219512195122,0,NA,0.392156862745098,0.04,1,NA,NA,0.405594405594406,0.04,1,NA,NA,0.871836734693878,0.960816326530612,0.983673469387755,0.987755102040816,1,0.845714285714286,0.960816326530612,0.983673469387755,0.987755102040816,1
"4524",4523,"P4_0523",33,"innovation",0.373700444276898,"True","False",1,1,1,0.5,"per_family",1,116,144,0.805555555555556,33,36,33,5378,0,0,5378,0,3511,1798,0,5309,1798,33,0,14,45,45,0,14,45,33,0,15,48,48,0,15,48,33,0,11,24,24,0,11,24,33,0,0,18,18,0,0,18,33,0,0,0,0,0,0,0,"P4",469,465,493,510,528,469,465,493,510,528,0.76271186440678,0.761904761904762,0.685714285714286,1,NA,0.76271186440678,0.761904761904762,0.685714285714286,1,NA,1,1,1,1,NA,1,1,1,1,NA,0.973484848484849,0.971590909090909,0.979166666666667,1,1,0.973484848484849,0.971590909090909,0.979166666666667,1,1
"4525",4524,"P4_0524",10,"innovation",0.497394277940412,"True","False",1,1,1,0.5,"per_family",1,0,0,0,10,17,13,246,0,0,246,0,104,0,0,104,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,"P4",78,78,78,78,78,78,78,78,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4526",4525,"P4_0525",23,"innovation",0.401486340962716,"True","False",1,1,1,0.5,"per_family",1,18,108,0.166666666666667,23,30,21,867,180,0,1047,180,1267,10,0,1277,10,21,0,42,0,0,0,42,0,21,14,21,6,20,14,21,6,21,0,12,0,0,0,12,0,21,4,4,1,5,4,4,1,21,0,4,0,0,0,4,0,"P4",168,169,198,201,206,168,169,198,201,206,0,0.222222222222222,0,0.2,0,0,0.222222222222222,0,0.2,0,NA,0.3,NA,0.2,NA,NA,0.3,NA,0.2,NA,0.8,0.833333333333333,0.942857142857143,0.961904761904762,0.980952380952381,0.8,0.833333333333333,0.942857142857143,0.961904761904762,0.980952380952381
"4527",4526,"P4_0526",18,"innovation",0.323852948625095,"True","False",1,1,1,0.5,"per_family",1,0,0,0,18,21,19,706,0,0,706,0,620,0,0,620,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,"P4",171,171,171,171,171,171,171,171,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4528",4527,"P4_0527",21,"innovation",0.483695748214274,"True","False",1,1,1,0.5,"per_family",1,0,0,0,21,27,19,771,0,0,771,0,813,0,0,813,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,"P4",171,171,171,171,171,171,171,171,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4529",4528,"P4_0528",34,"innovation",0.3733106838857,"True","False",1,1,1,0.5,"per_family",1,300,1302,0.230414746543779,34,148,125,299875,16983,0,316858,16983,4492,506,0,4998,506,125,279,280,249,528,72,222,307,125,224,171,203,427,0,123,251,125,92,93,156,248,92,97,152,125,0,42,43,43,0,42,43,125,90,21,39,129,0,20,40,"P4",7149,7376,7409,7665,7690,6942,7152,7409,7665,7600,0.580340264650284,0.671122994652406,0.610441767068273,0.505882352941176,0.666666666666667,0.47069943289225,0.542780748663102,0.626506024096386,0.505882352941176,0.65,0.810026385224274,1,0.622950819672131,1,1,0.471590909090909,0.475409836065574,0.629032258064516,1,0.302325581395349,0.962064516129032,0.984129032258064,0.975612903225806,0.99458064516129,0.99741935483871,0.927870967741935,0.949032258064516,0.976129032258064,0.99458064516129,0.985677419354839
"4530",4529,"P4_0529",15,"innovation",0.066407386788272,"True","False",1,1,1,0.5,"per_family",1,35,62,0.564516129032258,15,25,18,765,51,0,816,51,376,79,0,455,79,18,0,8,9,9,7,15,2,18,0,0,17,17,0,0,17,18,0,6,15,15,0,6,15,18,0,3,9,9,0,3,9,18,0,0,3,3,0,0,3,"P4",129,136,132,141,150,136,136,132,141,150,0.117647058823529,1,0.714285714285714,0.75,1,0.529411764705882,1,0.714285714285714,0.75,1,0.222222222222222,1,1,1,1,1,1,1,1,1,0.856209150326797,1,0.96078431372549,0.980392156862745,1,0.947712418300654,1,0.96078431372549,0.980392156862745,1
"4531",4530,"P4_0530",20,"innovation",0.474445681954879,"True","False",1,1,1,0.5,"per_family",1,0,0,0,20,30,26,2492,0,0,2492,0,870,0,0,870,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,"P4",325,325,325,325,325,325,325,325,325,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4532",4531,"P4_0531",13,"innovation",0.279537914093873,"True","False",1,1,1,0.5,"per_family",1,0,0,0,13,14,12,214,0,0,214,0,269,0,0,269,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,"P4",66,66,66,66,66,66,66,66,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4533",4532,"P4_0532",23,"innovation",0.149743124540275,"True","False",1,1,1,0.5,"per_family",1,97,129,0.751937984496124,23,28,21,1204,107,0,1311,107,1111,632,0,1743,632,21,0,15,45,45,0,15,45,21,0,6,7,7,0,6,7,21,0,0,29,29,0,0,29,21,0,5,6,6,0,5,6,21,0,0,2,2,0,0,2,"P4",150,197,181,199,208,150,197,181,199,208,0.75,0.538461538461538,1,0.545454545454545,1,0.75,0.538461538461538,1,0.545454545454545,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429,0.971428571428571,1,0.976190476190476,1,0.928571428571429,0.971428571428571,1,0.976190476190476,1
"4534",4533,"P4_0533",47,"innovation",0.341369794678335,"True","False",1,1,1,0.5,"per_family",1,21,219,0.0958904109589041,47,63,58,24022,1008,0,25030,1008,13972,66,0,14038,66,58,0,0,135,135,90,93,42,58,56,56,36,92,56,58,34,58,0,0,50,50,46,46,4,58,0,0,19,19,0,0,19,58,0,0,0,0,0,0,0,"P4",1428,1505,1557,1634,1653,1518,1505,1603,1634,1653,0.311111111111111,0.369565217391304,0.08,1,NA,1,0.391304347826087,1,1,NA,0.318181818181818,0.377777777777778,0.08,1,NA,1,0.391304347826087,1,1,NA,0.88929219600726,0.931034482758621,0.944343617664852,1,1,1,0.932244404113733,1,1,1
"4535",4534,"P4_0534",29,"innovation",0.153374342866229,"True","False",1,1,1,0.5,"per_family",1,596,1710,0.348538011695906,29,102,79,65298,12233,0,77531,12233,1615,1372,0,2987,1372,79,0,268,307,307,0,268,307,79,53,165,151,204,0,115,201,79,95,72,341,436,26,152,261,79,15,18,105,120,0,101,22,79,0,13,44,44,0,13,44,"P4",2506,2765,2642,2958,3024,2506,2712,2573,2943,3024,0.533913043478261,0.636075949367089,0.631961259079903,0.178861788617886,0.771929824561403,0.533913043478261,0.477848101265823,0.825665859564165,0.853658536585366,0.771929824561403,1,1,0.909407665505226,1,1,1,0.740196078431373,0.782110091743119,0.875,1,0.913015254787407,0.962674456345342,0.942226549821487,0.967218435572866,0.9957805907173,0.913015254787407,0.929243752028562,0.945796819214541,0.989289191820837,0.9957805907173
"4536",4535,"P4_0535",10,"innovation",0.197099475557783,"True","False",1,1,1,0.5,"per_family",1,0,0,0,10,11,8,56,0,0,56,0,110,0,0,110,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,"P4",28,28,28,28,28,28,28,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4537",4536,"P4_0536",26,"innovation",0.334208802481327,"True","False",1,1,1,0.5,"per_family",1,0,0,0,26,20,8,50,0,0,50,0,2007,0,0,2007,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,"P4",28,28,28,28,28,28,28,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4538",4537,"P4_0537",20,"innovation",0.475519561630485,"True","False",1,1,1,0.5,"per_family",1,29,142,0.204225352112676,20,40,32,4221,310,0,4531,310,894,37,0,931,37,32,16,48,3,19,16,48,3,32,0,55,0,0,0,55,0,32,0,0,26,26,12,24,2,32,0,23,10,10,0,23,10,32,0,0,4,4,0,0,4,"P4",429,441,458,463,492,429,441,470,463,492,0.0588235294117647,0,0.0769230769230769,0.303030303030303,1,0.0588235294117647,0,1,0.303030303030303,1,0.157894736842105,NA,0.142857142857143,1,1,0.157894736842105,NA,1,1,1,0.870967741935484,0.889112903225806,0.92741935483871,0.953629032258065,1,0.870967741935484,0.889112903225806,1,0.953629032258065,1
"4539",4538,"P4_0538",31,"innovation",0.152726533833908,"True","False",1,1,1,0.5,"per_family",1,266,1588,0.167506297229219,31,103,82,87083,1477,0,88560,1477,3736,759,0,4495,759,82,0,539,150,150,0,539,150,82,0,477,179,179,0,477,179,82,0,200,102,102,0,201,101,82,0,144,25,25,0,144,25,82,0,24,0,0,0,24,0,"P4",2632,2665,3019,3152,3297,2632,2665,3019,3152,3297,0.217706821480406,0.272865853658537,0.334437086092715,0.14792899408284,0,0.217706821480406,0.272865853658537,0.337748344370861,0.14792899408284,0,1,1,1,1,NA,1,1,1,1,NA,0.837699488105992,0.856368563685637,0.939476061427281,0.956639566395664,0.992773261065944,0.837699488105992,0.856368563685637,0.939777175549533,0.956639566395664,0.992773261065944
